Filename	Artist	Album	Year	Trackno	Title
c:\music\bhtm2013-06-08.AXS.TV\bhtm2013-06-08t11.flac	Big Head Todd & the Monsters	2013-06-08 Red Rocks Amphitheatre, Morrison, CO [TV] cm	2013	11	Sister Sweetly
c:\music\bhtm2013-06-08.AXS.TV\bhtm2013-06-08t12.flac	Big Head Todd & the Monsters	2013-06-08 Red Rocks Amphitheatre, Morrison, CO [TV] cm	2013	12	Turn the Light Out
c:\music\bhtm2013-06-08.AXS.TV\bhtm2013-06-08t13.flac	Big Head Todd & the Monsters	2013-06-08 Red Rocks Amphitheatre, Morrison, CO [TV] cm	2013	13	Tomorrow Never Comes
c:\music\bhtm2013-06-08.AXS.TV\bhtm2013-06-08t14.flac	Big Head Todd & the Monsters	2013-06-08 Red Rocks Amphitheatre, Morrison, CO [TV] cm	2013	14	It's Alright
c:\music\bhtm2013-06-08.AXS.TV\bhtm2013-06-08t15.flac	Big Head Todd & the Monsters	2013-06-08 Red Rocks Amphitheatre, Morrison, CO [TV] cm	2013	15	Groove Thing
c:\music\bhtm2013-06-08.AXS.TV\bhtm2013-06-08t16.flac	Big Head Todd & the Monsters	2013-06-08 Red Rocks Amphitheatre, Morrison, CO [TV] cm	2013	16	Soul For Every Cowboy
c:\music\bhtm2013-06-08.AXS.TV\bhtm2013-06-08t17.flac	Big Head Todd & the Monsters	2013-06-08 Red Rocks Amphitheatre, Morrison, CO [TV] cm	2013	17	Ellis Island
c:\music\bhtm2013-06-08.AXS.TV\bhtm2013-06-08t18.flac	Big Head Todd & the Monsters	2013-06-08 Red Rocks Amphitheatre, Morrison, CO [TV] cm	2013	18	Bittersweet
c:\music\bhtm2013-06-08.AXS.TV\bhtm2013-06-08t19.flac	Big Head Todd & the Monsters	2013-06-08 Red Rocks Amphitheatre, Morrison, CO [TV] cm	2013	19	Circle
c:\music\bhtm2013-06-08.AXS.TV\bhtm2013-06-08t20.flac	Big Head Todd & the Monsters	2013-06-08 Red Rocks Amphitheatre, Morrison, CO [TV] cm	2013	20	Brother John
c:\music\bhtm2013-06-08.AXS.TV\bhtm2013-06-08t21.flac	Big Head Todd & the Monsters	2013-06-08 Red Rocks Amphitheatre, Morrison, CO [TV] cm	2013	21	I Get Smooth
c:\music\bhtm2013-06-08.AXS.TV\bhtm2013-06-08t22.flac	Big Head Todd & the Monsters	2013-06-08 Red Rocks Amphitheatre, Morrison, CO [TV] cm	2013	22	Seven State Lines
c:\music\bhtm2013-06-08.AXS.TV\bhtm2013-06-08t23.flac	Big Head Todd & the Monsters	2013-06-08 Red Rocks Amphitheatre, Morrison, CO [TV] cm	2013	23	Please Don't Tell Her
c:\music\bhtm2013-06-08.AXS.TV\bhtm2013-06-08t24.flac	Big Head Todd & the Monsters	2013-06-08 Red Rocks Amphitheatre, Morrison, CO [TV] cm	2013	24	Resignation Superman
c:\music\bhtm2013-06-08.AXS.TV\bhtm2013-06-08t25.flac	Big Head Todd & the Monsters	2013-06-08 Red Rocks Amphitheatre, Morrison, CO [TV] cm	2013	25	Cashbox
c:\music\bhtm2013-06-08.AXS.TV\bhtm2013-06-08t26.flac	Big Head Todd & the Monsters	2013-06-08 Red Rocks Amphitheatre, Morrison, CO [TV] cm	2013	26	Everything About You
c:\music\bhtm2013-06-08.AXS.TV\bhtm2013-06-08t27.flac	Big Head Todd & the Monsters	2013-06-08 Red Rocks Amphitheatre, Morrison, CO [TV] cm	2013	27	Her Own Kinda Woman
